Stationsname,Stationscode,Stationsname,Schadstoff,Einheit,dataGroup,Jahr-2014,Jahr-2015,TYPE_OF_STATION,TYPE_OF_AREA,Länge,Breite,Stadt,id,c-2014,c-2015
Mülheim Kölner Straße (B1),DENW305,Mülheim Kölner Straße (B1),Stickstoffdioxid,µg/m³,diskontinuierliche Messung,42.8621,39.3507,Verkehr,vorstädtisches Gebiet,6.863392,51.368083,Mülheim,119,42.8621,39.3507
Jackerath,DENW329,Jackerath,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,19.2617,18.8296,Industrie,ländliches Gebiet,6.451483,51.033834,Jackerath,120,19.2617,18.8296
Düsseldorf-Lohausen,DENW330,Düsseldorf-Lohausen,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,33.1274,-,Hintergrund,städtisches Gebiet,6.753747,51.269503,Düsseldorf,121,33.1274,
Bochum Herner Straße 385,DENW331,Bochum Herner Straße 385,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,50.5727,46.6453,Verkehr,städtisches Gebiet,7.211139,51.512561,Bochum,122,50.5727,46.6453
Köln Hauptstraße,DENW332,Köln Hauptstraße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,44.0486,39.4819,Verkehr,städtisches Gebiet,7.055722,50.883711,Köln,123,44.0486,39.4819
Kamen Bahnhofstraße 21,DENW334,Kamen Bahnhofstraße 21,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,36.4709,33.2874,Verkehr,städtisches Gebiet,7.662739,51.588658,Kamen,124,36.4709,33.2874
Meerbusch Meerbuscher Straße,DENW335,Meerbusch Meerbuscher Straße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,37.2613,32.3418,Verkehr,städtisches Gebiet,6.641622,51.267083,Meerbusch,125,37.2613,32.3418
Köln Luxemburger Straße,DENW336,Köln Luxemburger Straße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,53.0915,50.3534,Verkehr,städtisches Gebiet,6.932681,50.920406,Köln,126,53.0915,50.3534
Jüchen-Hochneukirch,DENW337,Jüchen-Hochneukirch,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,19.8625,17.9231,Industrie,ländlich stadtnah,6.469463,51.097638,Jüchen,127,19.8625,17.9231
Duisburg-Bruckhausen,DENW338,Duisburg-Bruckhausen,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,36.7769,34.4506,Industrie,städtisches Gebiet,6.735431,51.485492,Duisburg,128,36.7769,34.4506
Düsseldorf Volmerswerther Deich,DENW339,Düsseldorf Volmerswerther Deich,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,29.329,-888,Hintergrund,vorstädtisches Gebiet,6.75952,51.184426,Düsseldorf,129,29.329,
Düsseldorf Ludenberger Straße,DENW340,Düsseldorf Ludenberger Straße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,56.1637,51.2464,Verkehr,städtisches Gebiet,6.83315,51.240755,Düsseldorf,130,56.1637,51.2464
Siegen Sandstraße 18,DENW342,Siegen Sandstraße 18,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,37.9198,38.0078,Verkehr,städtisches Gebiet,8.02382,50.875539,Siegen,131,37.9198,38.0078
Düsseldorf (Flughafen 1),DENW343,Düsseldorf (Flughafen 1),Stickstoffdioxid,µg/m³,diskontinuierliche Messung,-777,-,Hintergrund,städtisches Gebiet,6.76645,51.271822,Düsseldorf,132,,
Düsseldorf (Flughafen 2),DENW344,Düsseldorf (Flughafen 2),Stickstoffdioxid,µg/m³,diskontinuierliche Messung,-777,-,Hintergrund,städtisches Gebiet,6.763922,51.269125,Düsseldorf,133,,
Düsseldorf (Flughafen 3),DENW345,Düsseldorf (Flughafen 3),Stickstoffdioxid,µg/m³,diskontinuierliche Messung,-777,-777,Hintergrund,städtisches Gebiet,6.753858,51.269567,Düsseldorf,134,,
Düsseldorf (Flughafen 4),DENW346,Düsseldorf (Flughafen 4),Stickstoffdioxid,µg/m³,diskontinuierliche Messung,-777,-,Hintergrund,vorstädtisches Gebiet,6.769639,51.262039,Düsseldorf,135,,
Düsseldorf (Flughafen 5),DENW347,Düsseldorf (Flughafen 5),Stickstoffdioxid,µg/m³,diskontinuierliche Messung,-777,-777,Hintergrund,vorstädtisches Gebiet,6.810644,51.315067,Düsseldorf,136,,
Düsseldorf (Flughafen 6),DENW348,Düsseldorf (Flughafen 6),Stickstoffdioxid,µg/m³,diskontinuierliche Messung,-777,-,Hintergrund,vorstädtisches Gebiet,6.824336,51.315061,Düsseldorf,137,,
Düsseldorf (Flughafen 7),DENW349,Düsseldorf (Flughafen 7),Stickstoffdioxid,µg/m³,diskontinuierliche Messung,-777,-,Hintergrund,städtisches Gebiet,6.809969,51.289739,Düsseldorf,138,,
Düsseldorf (Flughafen 8),DENW350,Düsseldorf (Flughafen 8),Stickstoffdioxid,µg/m³,diskontinuierliche Messung,-777,-,Hintergrund,städtisches Gebiet,6.78635,51.301569,Düsseldorf,139,,
Gelsenkirchen Grothusstraße,DENW351,Gelsenkirchen Grothusstraße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,39.1644,35.0087,Verkehr,städtisches Gebiet,7.060337,51.524281,Gelsenkirchen,140,39.1644,35.0087
Köln Lindweilerweg 144,DENW353,Köln Lindweilerweg 144,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,42.3709,42.3136,Verkehr,städtisches Gebiet,6.899453,50.995219,Köln,141,42.3709,42.3136
Düsseldorf Südring,DENW354,Düsseldorf Südring,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,-,37.544,Verkehr,städtisches Gebiet,6.45683,51.12031,Düsseldorf,142,,37.544
Leverkusen Gustav-Heinemann-Str.,DENW355,Leverkusen Gustav-Heinemann-Str.,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,-,47.0061,Verkehr,städtisches Gebiet,7.010934,51.031473,Leverkusen,143,,47.0061
Lüdenscheid Lennestraße,DENW356,Lüdenscheid Lennestraße,Stickstoffdioxid,µg/m³,halb- oder stündliche Messung,-,35.1079,Verkehr,städtisches Gebiet,7.643095,51.227609,Lüdenscheid,144,,35.1079
Köln Bergisch Gladbacher Straße,DENW358,Köln Bergisch Gladbacher Straße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,-,42.3587,Verkehr,städtisches Gebiet,7.047528,50.970389,Köln,145,,42.3587
Siegen Sandstraße 15,DENW360,Siegen Sandstraße 15,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,-,45.5353,Verkehr,städtisches Gebiet,8.020833,50.875594,Siegen,146,,45.5353
Bielefeld-Innenstadt,DENW361,Bielefeld-Innenstadt,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,-,48.743,Verkehr,städtisches Gebiet,8.534306,52.023889,Bielefeld,147,,48.743
Düsseldorf Norfer Straße,DENW362,Düsseldorf Norfer Straße,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,-,31.8203,Hintergrund,städtisches Gebiet,6.761111,51.200306,Düsseldorf,148,,31.8203
Paderborn-Schloss Neuhaus,DENW363,Paderborn-Schloss Neuhaus,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,-,41.5547,Verkehr,städtisches Gebiet,8.711944,51.743583,Paderborn,149,,41.5547
Bottrop Peterstraße 9,DENW364,Bottrop Peterstraße 9,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,-,37.7425,Verkehr,städtisches Gebiet,6.924361,51.519167,Bottrop,150,,37.7425
Schwerte Hörder Straße 13,DENW365,Schwerte Hörder Straße 13,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,-,45.9835,Verkehr,städtisches Gebiet,7.563578,51.446714,Schwerte,151,,45.9835
Herne Recklinghauser Straße 4/6,DENW369,Herne Recklinghauser Straße 4/6,Stickstoffdioxid,µg/m³,diskontinuierliche Messung,-,-777,Verkehr,städtisches Gebiet,7.150192,51.543008,Herne,152,,
